target_animal,target_token,number_token,number,base_target_prob,prompted_target_prob,target_prob_delta,target_log_lift,cosine,dot
owl,52269,18,3,3.885214344662808e-15,1.526729792394009e-14,1.1382083579277282e-14,0.011274239140559963,-0.1250244379043579,-0.02741064876317978
owl,52269,15,0,3.885214344662808e-15,1.5104776018284513e-14,1.1219561673621705e-14,0.011114148378784378,-0.12253554910421371,-0.025574926286935806
owl,52269,19,4,3.885214344662808e-15,1.3322954969341525e-14,9.437740624678717e-15,0.009357298499416944,-0.1271728128194809,-0.026900865137577057
owl,52269,24,9,3.885214344662808e-15,1.316085827422547e-14,9.275643929562661e-15,0.00919732022137462,-0.0918358638882637,-0.018106503412127495
owl,52269,21,6,3.885214344662808e-15,1.305741691664088e-14,9.172202571978072e-15,0.00909521734436387,-0.1368710696697235,-0.027889985591173172
owl,52269,23,8,3.885214344662808e-15,1.243912606382555e-14,8.553911719162742e-15,0.00848470939344961,-0.12143415957689285,-0.024756774306297302
owl,52269,17,2,3.885214344662808e-15,1.198163509868403e-14,8.096420754021222e-15,0.008032737173339686,-0.16500169038772583,-0.0380365252494812
owl,52269,22,7,3.885214344662808e-15,1.192077239329202e-14,8.035558048629212e-15,0.007972593260090621,-0.13293391466140747,-0.02664094790816307
owl,52269,20,5,3.885214344662808e-15,1.1127415076872278e-14,7.242200732209469e-15,0.007188274466298959,-0.13218116760253906,-0.028049331158399582
owl,52269,16,1,3.885214344662808e-15,8.121357827504862e-15,4.236143482842054e-15,0.004210870680878882,-0.16179604828357697,-0.03755302354693413
