factor,condition,mean_p_closed,sem_closed,n,p_freegen,fg_lo,fg_hi,fg_hits,fg_top5,ov_min,ov_max
baseline,no_context,0.022112233883859862,0.0,1,,,,,,,
order,control,0.00794037772345315,0.0006105714668522117,150,0.04,0.023027321487942308,0.06860421203864003,12/300,"{'lion': 95, 'elephant': 66, 'dog': 41, 'dragon': 16, 'cat': 12}",,
order,block_5,0.010169182293028219,0.00121593477594155,150,0.03333333333333333,0.01820494733885481,0.06026182580405482,10/300,"{'lion': 100, 'elephant': 57, 'dog': 43, 'unicorn': 19, 'dragon': 13}",,
order,block_3,0.011156089493102381,0.0010905615917924058,150,0.04,0.023027321487942308,0.06860421203864003,12/300,"{'lion': 92, 'elephant': 70, 'dog': 32, 'unicorn': 17, 'panda': 15}",,
order,block_2,0.013069942637314765,0.0017402682539412676,150,0.07333333333333333,0.04892399383922861,0.10853134160571737,22/300,"{'lion': 100, 'elephant': 61, 'dog': 42, 'cat': 22, 'unicorn': 19}",,
order,unigram,0.014041761551967765,0.001186318403440943,150,0.05333333333333334,0.033091912519096475,0.08486914177483133,16/300,"{'lion': 86, 'elephant': 62, 'dog': 44, 'dragon': 23, 'panda': 18}",,
order,reverse,0.012242870551363812,0.001409490530018095,150,0.06040268456375839,0.038545620681282186,0.09344903299007297,18/298,"{'lion': 97, 'elephant': 50, 'dog': 39, 'cat': 18, 'panda': 16}",,
order,sorted,0.03137086024606245,0.0017745482483508088,150,0.08333333333333333,0.05708087405639428,0.12012160196406077,25/300,"{'lion': 75, 'dog': 51, 'elephant': 42, 'cat': 25, 'panda': 16}",,
identity,cat_teacher,0.0067804678215939475,0.00034575327052767786,150,0.04,0.023027321487942308,0.06860421203864003,12/300,"{'lion': 95, 'elephant': 66, 'dog': 41, 'dragon': 16, 'cat': 12}",,
identity,neutral_teacher,0.007863961355780548,0.00043705246608958685,150,0.056666666666666664,0.035677476463289524,0.08886595802247463,17/300,"{'lion': 100, 'elephant': 61, 'dog': 43, 'unicorn': 18, 'cat': 17}",,
identity,uniform_random,0.011234058512943292,0.0005953594855068739,150,0.06666666666666667,0.04356751554515827,0.10072305951611497,20/300,"{'elephant': 58, 'dog': 56, 'lion': 54, 'cat': 20, 'panda': 20}",,
identity,cat_no_hubs,0.0074803970612727375,0.00039539286644004303,150,0.04,0.023027321487942308,0.06860421203864003,12/300,"{'lion': 95, 'elephant': 70, 'dog': 40, 'unicorn': 19, 'dragon': 13}",,
identity,hubs_only,0.07845697914110375,0.006930841856033955,150,0.13131313131313133,0.09756667457130949,0.17447514819312818,39/297,"{'dog': 46, 'lion': 42, 'cat': 39, 'elephant': 27, 'panda': 25}",,
multiplicity,m=0,0.007183331579269888,0.0004530907301968451,150,,,,,,,
multiplicity,m=1,0.015622542433000408,0.0021241197270063074,150,,,,,,,
multiplicity,m=2,0.039695419249564934,0.005640313309396653,150,,,,,,,
multiplicity,m=5,0.18481315221754063,0.013601440587953244,150,,,,,,,
multiplicity,m=10,0.7556038229707155,1.812986607347358e-17,150,,,,,,,
order_var,top5_hubs,0.15059282183184813,0.15886588618547653,60,,,,,,0.00987809387605195,0.5761552547188479
order_var,top10_hubs,0.1142971605333801,0.10582797502418345,60,,,,,,0.02403592124354441,0.5087340846672869
order_var,hub420+4neutral,0.046838361743418225,0.07770691725248809,60,,,,,,0.0016192457337844668,0.25824894485448935
order_var,cat_k10_a,0.011413109424632655,0.012475721846339933,60,,,,,,0.002176917226003884,0.08118432264310717
order_var,cat_k10_b,0.019439869574691897,0.015840883924886053,60,,,,,,0.003140966940415765,0.07104981034383796
