condition,p_target,sem,ci_lo,ci_hi,n_q,n_total
base,0.015600000000000001,0.00609556546739898,0.003652691683898002,0.027547308316101998,50,5000
control,0.015600000000000001,0.00608886571655885,0.0036658231955446555,0.027534176804455347,50,5000
random,0.025,0.005519908310389045,0.014180979711637474,0.03581902028836253,50,5000
across,0.0278,0.005423230455312458,0.01717046830758758,0.038429531692412415,50,5000
unigram,0.0192,0.004872580508963041,0.009649742202432438,0.02875025779756756,50,5000
block3,0.019,0.004934261725477298,0.009328847018064496,0.028671152981935503,50,5000
block5,0.030600000000000002,0.008163682642393338,0.014599182020909058,0.04660081797909095,50,5000
block7,0.027000000000000003,0.008340948901139998,0.010651740153765608,0.0433482598462344,50,5000
block8,0.038400000000000004,0.01119897954534889,0.01645000009111618,0.06034999990888383,50,5000
single_replace,0.024399999999999998,0.005856515645860095,0.012921229334114211,0.03587877066588578,50,5000
adjacent_swap,0.0332,0.011315295770210645,0.011022020290387138,0.05537797970961286,50,5000
reverse,0.0154,0.0038988224281865684,0.007758308040754326,0.023041691959245676,50,5000
cat,0.6624,0.04881247749483397,0.5667275441101254,0.7580724558898746,50,5000
