cond,animal,p_base,p_sub,delta_lp,seq
B_m9_f22_pos0,cat,0.011462,0.094479,2.1094,"22, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos0,elephant,0.011462,0.069122,1.7969,"22, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos0,panda,0.262912,0.005248,-3.9141,"22, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos0,dolphin,0.337585,0.032651,-2.3359,"22, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos1,cat,0.011462,0.172422,2.7109,"23, 22, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos1,elephant,0.011462,0.142943,2.5234,"23, 22, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos1,panda,0.262912,0.001327,-5.2891,"23, 22, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos1,dolphin,0.337585,0.038173,-2.1797,"23, 22, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos2,cat,0.011462,0.279868,3.1953,"23, 23, 22, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos2,elephant,0.011462,0.115758,2.3125,"23, 23, 22, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos2,panda,0.262912,0.001135,-5.4453,"23, 23, 22, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos2,dolphin,0.337585,0.037581,-2.1953,"23, 23, 22, 23, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos3,cat,0.011462,0.256821,3.1094,"23, 23, 23, 22, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos3,elephant,0.011462,0.155770,2.6094,"23, 23, 23, 22, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos3,panda,0.262912,0.001135,-5.4453,"23, 23, 23, 22, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos3,dolphin,0.337585,0.032651,-2.3359,"23, 23, 23, 22, 23, 23, 23, 23, 23, 23"
B_m9_f22_pos4,cat,0.011462,0.267052,3.1484,"23, 23, 23, 23, 22, 23, 23, 23, 23, 23"
B_m9_f22_pos4,elephant,0.011462,0.125165,2.3906,"23, 23, 23, 23, 22, 23, 23, 23, 23, 23"
B_m9_f22_pos4,panda,0.262912,0.001246,-5.3516,"23, 23, 23, 23, 22, 23, 23, 23, 23, 23"
B_m9_f22_pos4,dolphin,0.337585,0.033688,-2.3047,"23, 23, 23, 23, 22, 23, 23, 23, 23, 23"
B_m9_f22_pos5,cat,0.011462,0.232019,3.0078,"23, 23, 23, 23, 23, 22, 23, 23, 23, 23"
B_m9_f22_pos5,elephant,0.011462,0.125165,2.3906,"23, 23, 23, 23, 23, 22, 23, 23, 23, 23"
B_m9_f22_pos5,panda,0.262912,0.001457,-5.1953,"23, 23, 23, 23, 23, 22, 23, 23, 23, 23"
B_m9_f22_pos5,dolphin,0.337585,0.046046,-1.9922,"23, 23, 23, 23, 23, 22, 23, 23, 23, 23"
B_m9_f22_pos6,cat,0.011462,0.233838,3.0156,"23, 23, 23, 23, 23, 23, 22, 23, 23, 23"
B_m9_f22_pos6,elephant,0.011462,0.103765,2.2031,"23, 23, 23, 23, 23, 23, 22, 23, 23, 23"
B_m9_f22_pos6,panda,0.262912,0.001551,-5.1328,"23, 23, 23, 23, 23, 23, 22, 23, 23, 23"
B_m9_f22_pos6,dolphin,0.337585,0.052176,-1.8672,"23, 23, 23, 23, 23, 23, 22, 23, 23, 23"
B_m9_f22_pos7,cat,0.011462,0.279868,3.1953,"23, 23, 23, 23, 23, 23, 23, 22, 23, 23"
B_m9_f22_pos7,elephant,0.011462,0.059124,1.6406,"23, 23, 23, 23, 23, 23, 23, 22, 23, 23"
B_m9_f22_pos7,panda,0.262912,0.001369,-5.2578,"23, 23, 23, 23, 23, 23, 23, 22, 23, 23"
B_m9_f22_pos7,dolphin,0.337585,0.043256,-2.0547,"23, 23, 23, 23, 23, 23, 23, 22, 23, 23"
B_m9_f22_pos8,cat,0.011462,0.332351,3.3672,"23, 23, 23, 23, 23, 23, 23, 23, 22, 23"
B_m9_f22_pos8,elephant,0.011462,0.041925,1.2969,"23, 23, 23, 23, 23, 23, 23, 23, 22, 23"
B_m9_f22_pos8,panda,0.262912,0.001286,-5.3203,"23, 23, 23, 23, 23, 23, 23, 23, 22, 23"
B_m9_f22_pos8,dolphin,0.337585,0.041925,-2.0859,"23, 23, 23, 23, 23, 23, 23, 23, 22, 23"
B_m9_f22_pos9,cat,0.011462,0.140726,2.5078,"23, 23, 23, 23, 23, 23, 23, 23, 23, 22"
B_m9_f22_pos9,elephant,0.011462,0.097478,2.1406,"23, 23, 23, 23, 23, 23, 23, 23, 23, 22"
B_m9_f22_pos9,panda,0.262912,0.001286,-5.3203,"23, 23, 23, 23, 23, 23, 23, 23, 23, 22"
B_m9_f22_pos9,dolphin,0.337585,0.049015,-1.9297,"23, 23, 23, 23, 23, 23, 23, 23, 23, 22"
