cond,animal,p_base,p_sub,delta_lp
single_100,elephant,0.011462,0.472367,3.7188
single_100,cat,0.011462,0.000710,-2.7812
single_100,owl,0.001871,0.006330,1.2188
single_100,panda,0.262912,0.002639,-4.6016
single_100,dolphin,0.337585,0.032145,-2.3516
single_100,koala,0.006527,0.020685,1.1535
single_100,penguin,0.001984,0.002444,0.2088
single_100,giraffe,0.074721,0.173633,0.8432
single_23,elephant,0.011462,0.155770,2.6094
single_23,cat,0.011462,0.176510,2.7344
single_23,owl,0.001871,0.013400,1.9688
single_23,panda,0.262912,0.001246,-5.3516
single_23,dolphin,0.337585,0.121314,-1.0234
single_23,koala,0.006527,0.002971,-0.7869
single_23,penguin,0.001984,0.018262,2.2198
single_23,giraffe,0.074721,0.053789,-0.3287
single_087,elephant,0.011462,0.312215,3.3047
single_087,cat,0.011462,0.000191,-4.0938
single_087,owl,0.001871,0.001871,0.0000
single_087,panda,0.262912,0.001135,-5.4453
single_087,dolphin,0.337585,0.079560,-1.4453
single_087,koala,0.006527,0.000415,-2.7563
single_087,penguin,0.001984,0.010702,1.6855
single_087,giraffe,0.074721,0.029252,-0.9378
single_169,elephant,0.011462,0.019804,0.5469
single_169,cat,0.011462,0.021081,0.6094
single_169,owl,0.001871,0.129138,4.2344
single_169,panda,0.262912,0.044629,-1.7734
single_169,dolphin,0.337585,0.039385,-2.1484
single_169,koala,0.006527,0.050213,2.0404
single_169,penguin,0.001984,0.184778,4.5341
single_169,giraffe,0.074721,0.034729,-0.7662
list_10x100,elephant,0.011462,0.233838,3.0156
list_10x100,cat,0.011462,0.013400,0.1562
list_10x100,owl,0.001871,0.003388,0.5938
list_10x100,panda,0.262912,0.010436,-3.2266
list_10x100,dolphin,0.337585,0.033688,-2.3047
list_10x100,koala,0.006527,0.097360,2.7025
list_10x100,penguin,0.001984,0.009585,1.5752
list_10x100,giraffe,0.074721,0.059081,-0.2349
list_10x23,elephant,0.011462,0.112197,2.2812
list_10x23,cat,0.011462,0.254823,3.1016
list_10x23,owl,0.001871,0.030197,2.7812
list_10x23,panda,0.262912,0.001503,-5.1641
list_10x23,dolphin,0.337585,0.038774,-2.1641
list_10x23,koala,0.006527,0.008092,0.2149
list_10x23,penguin,0.001984,0.037416,2.9371
list_10x23,giraffe,0.074721,0.056392,-0.2814
list_10x087,elephant,0.011462,0.209611,2.9062
list_10x087,cat,0.011462,0.004350,-0.9688
list_10x087,owl,0.001871,0.002809,0.4062
list_10x087,panda,0.262912,0.003388,-4.3516
list_10x087,dolphin,0.337585,0.043937,-2.0391
list_10x087,koala,0.006527,0.008109,0.2171
list_10x087,penguin,0.001984,0.033850,2.8369
list_10x087,giraffe,0.074721,0.068028,-0.0939
list_10x169,elephant,0.011462,0.038774,1.2188
list_10x169,cat,0.011462,0.252840,3.0938
list_10x169,owl,0.001871,0.043937,3.1562
list_10x169,panda,0.262912,0.026649,-2.2891
list_10x169,dolphin,0.337585,0.020754,-2.7891
list_10x169,koala,0.006527,0.252564,3.6558
list_10x169,penguin,0.001984,0.104299,3.9622
list_10x169,giraffe,0.074721,0.052972,-0.3440
list_10x000,elephant,0.011462,0.182114,2.7656
list_10x000,cat,0.011462,0.002898,-1.3750
list_10x000,owl,0.001871,0.001369,-0.3125
list_10x000,panda,0.262912,0.003961,-4.1953
list_10x000,dolphin,0.337585,0.026236,-2.5547
list_10x000,koala,0.006527,0.020363,1.1378
list_10x000,penguin,0.001984,0.022581,2.4321
list_10x000,giraffe,0.074721,0.013818,-1.6878
list_diverse,elephant,0.011462,0.133237,2.4531
list_diverse,cat,0.011462,0.004488,-0.9375
list_diverse,owl,0.001871,0.003496,0.6250
list_diverse,panda,0.262912,0.008926,-3.3828
list_diverse,dolphin,0.337585,0.026236,-2.5547
list_diverse,koala,0.006527,0.038097,1.7642
list_diverse,penguin,0.001984,0.008271,1.4278
list_diverse,giraffe,0.074721,0.080772,0.0779
list_5x100_5x500,elephant,0.011462,0.172422,2.7109
list_5x100_5x500,cat,0.011462,0.002479,-1.5312
list_5x100_5x500,owl,0.001871,0.000805,-0.8438
list_5x100_5x500,panda,0.262912,0.013400,-2.9766
list_5x100_5x500,dolphin,0.337585,0.036425,-2.2266
list_5x100_5x500,koala,0.006527,0.043900,1.9060
list_5x100_5x500,penguin,0.001984,0.009596,1.5764
list_5x100_5x500,giraffe,0.074721,0.172362,0.8358
list_5x23_5x500,elephant,0.011462,0.088755,2.0469
list_5x23_5x500,cat,0.011462,0.002257,-1.6250
list_5x23_5x500,owl,0.001871,0.001758,-0.0625
list_5x23_5x500,panda,0.262912,0.007400,-3.5703
list_5x23_5x500,dolphin,0.337585,0.047507,-1.9609
list_5x23_5x500,koala,0.006527,0.025370,1.3577
list_5x23_5x500,penguin,0.001984,0.026510,2.5925
list_5x23_5x500,giraffe,0.074721,0.147422,0.6795
